match_id,puuid,placement,level,last_round,time_eliminated,players_eliminated,total_damage_to_players,gold_left
NA1_5485094051,ONRLpw5G-SdT2hqcrJs2exv6h443Jm7T6evGT342H00vxzqOFlKFVz_VL8MP3wp55dLCn_Gxx__FCA,6,8,26,1481.7764892578125,0,39,1
NA1_5485094051,pJxiuLjgEaBGt5NO0qclpN09Q8rlOQ_RhVROjdV86XbPIWZP6EpLeSIOG4jP3aiJapvUEfLRoxhjXw,7,7,24,1315.1177978515625,0,40,20
NA1_5485094051,oTLe3TtarpdH1CeYOjgXT7VU3QTwBHP2N4ndsqUKJUXtvXfxvyBkACHw17kWob-AySl5x7aJO0kHoQ,2,8,35,2001.1134033203125,0,145,30
NA1_5485094051,f1mNrGJD0U-VAFEo-WECheEO6YzjC-WWQtNOx7Epu0WAQqQ08D14GYUc6gWBkbLH4oiy8mwlTu1cag,1,9,35,2004.067626953125,4,175,4
NA1_5485094051,vnMRVApburkmSdJopqXLJbKK9N_YiysdYBlbAUECyUMHytnsBpdbktBNV9vYC5s3txpVzjKXmr3FVw,5,8,27,1535.4178466796875,0,67,34
NA1_5485094051,lPiNxhRgSiDOOWJzWxOFiiX3-tc7R5SS-ZjFxM7wHSKY2Kt3uMP1zqJKSOcyf5j5IqSkkQVPGr0BQw,8,8,19,1028.1885986328125,0,23,1
NA1_5485094051,JrcpGlI8v4310ux9QRTdGu7gtavtG8KYhCfvXunLWBlvnNi-2iz2Ie-ATzqVTgWW41ebHz9P_4XgQQ,3,10,35,2004.067626953125,0,132,0
NA1_5485094051,MsO-QeXDIfLGY-0bVvCDJLh2hggOgz71WkdNxQ0ZMcOb5Fnu-Jk9Bq6tzxf3DYOFP8WZ5WN7dOkM2w,4,8,31,1768.01708984375,0,95,16
NA1_5486039664,JrcpGlI8v4310ux9QRTdGu7gtavtG8KYhCfvXunLWBlvnNi-2iz2Ie-ATzqVTgWW41ebHz9P_4XgQQ,7,9,27,1602.5819091796875,0,56,2
NA1_5486039664,-olOBehR9-e-dSqglBwkMFCH5Nbswrued4fgdm_2--vwjfNejYNIcAtfPhd3hCco0U-rRBEUKex0kg,5,9,30,1759.2095947265625,0,83,1
NA1_5486039664,MsO-QeXDIfLGY-0bVvCDJLh2hggOgz71WkdNxQ0ZMcOb5Fnu-Jk9Bq6tzxf3DYOFP8WZ5WN7dOkM2w,6,8,28,1652.75732421875,0,64,8
NA1_5486039664,jGPBUHBf38_pr9TVhuhlzCbNHCTf6EiZFZpKx2AxlJcP7STqqatCLEL2WIROH4xM8ESWyhrKNLub4A,2,9,38,2188.913330078125,3,159,10
NA1_5486039664,0tAyBHdXhsTEI0TigrHeiaa2jV4djXfrWPOvl1pASeBHez01gLABqaOcnZXoGTcR-I1ykWR3KIFlOQ,4,9,34,1991.89697265625,1,122,0
NA1_5486039664,k2e77NoOAFDcEILFd9M81j6-9tW-adXfYX9_LyIbg9-Noh7w0YIoJek7f4Qfy8NXLbaxcG3vewwBGw,3,9,37,2132.031494140625,1,142,16
NA1_5486039664,O3FiZfdRhu7CU4KK1YM9QBI4oDPi3joBt9IU9_OTTQIilYPsuElOW164n4Avj_OwjUhC_iKWxPVq8w,8,8,23,1356.430419921875,0,22,2
NA1_5486039664,f-2HahvRaJYBWzhbg8AmmTEK073dUS9EeAnMvhgt3dPbbXBJy5iuDG1cTc3Z_I109FsoXAkTto9pDQ,1,9,38,2190.41552734375,2,177,1
NA1_5486053547,VdknXtC93Pjy-AM_qcwFCnefMyQ8K8-HM9xDh3xLtq1Ah-B0avWd3SEFQQJz-Ket4WuLa_HopDAANw,7,8,27,1577.2117919921875,0,69,0
